presents		Presents...
play			Play
options			Options
credits			Credits
exit			Exit
choose_game		Choose a game to load or 'New Game'
new_game		New Game
what_name		What is your name?
back			Back
continue		Continue
delete			Delete
delete_confirm	Are you sure you want to delete this game?
yes				Yes
no				No
save			Save
cancel			Cancel
language		Language
lang_name		English
sound_volume	Sounds volume
music_volume	Music volume
ch_st_instruct	Press 'Enter' or 'Space' to start.\nPress 'Esc' or 'Backspace' to go back.
left_shift		left shift
right_shift		right shift
left_arrow		left arrow
right_arrow		right arrow
stage			Stage
loading			Loading
lives			Lives
score			Score
resume			Resume
change_bomb		Change Bomb
save_exit		Save and Exit
stage_complete	Stage Complete!
total			Total
spec_taken		Spec found?
dead			You died!
restart			Press 'Enter' to restart
game_over		Game over!
msg1			Testing message
msg2			Second test message
chamal_speech	Muahahahahahahahahahahahaha hahahahahaha hahaha hahahahahaha hahahahahahahahahaha hahaha hahahaha haha!
chamal_death	Noooooooooooooooooooooo...!! Y u do dis??
count_down		Countdown to explosion!
world_1			Tars Island
stage_1_1		Exploring the Tars Beach
stage_1_2		Sand, Wind and Wilderness
stage_1_3		Name of the Third Stage
stage_1_4		Finally! Chamal's Fortress
world_2			Wisemen's forest
stage_2_1		The border woods
bonus			Bonus
bonus_1			adjf dfksh
bonus_2			sdkfh sdjh dfjkdfk jk
bonus_3			sdf fdfh gh
bonus_4			rtrtrt rtr trt r
bonus_5			w erte terter rtr
movie_1_1		lskdjfksjdlkf sdjfkls\njdfsj dkfjkdfj skdfjsk djfslkjsj dfk dskf sdfkjl.
movie_1_2		blab balfab fablabs fblabf blaf ablafbalbf afblabf.
movie_1_3		Thjg dkfjkjdsf jf psdf sdkjflsdkfj sjdkfsj s djfksl sdfjkjdf.\najkdhasdh asjsdh.
game_end		The End!
game_end_sub	But... have you collected all the Specs?
game_end_2		The End!
game_end_2_sub	Seriously, now.
