powered_by		Funkciigita de
game_by			Ludo de
play			Ludi
help			Helpo
options			Opcioj
credits			Atribuoj
editor			Nivela Redaktilo
exit			Eliri
story			Rakonto
custom			Tajloritaj Niveloj
choose_game		Elektu ludon por ŝarĝi aŭ 'Nova Ludo'
new_game		Nova Ludo
what_name		Kio estas via nomo?
select_mode		Select the game mode
old_school		Old School
old_school_desc	You have a limited number of lives. If it reaches zero, you lose all progress in the last visited world.
casual			Casual
casual_desc		There's no lives limit. You can retry as many times as you want from a check-point or level start.
back			Reen
continue		Daŭrigi
delete			Forigi
delete_confirm	Ĉu vi certas, ke vi volas forigi ĉi tiun ludon?
yes				Jes
no				Ne
select_level	Elektu nivelon por ludi
help_text		Ĉi tio estas platforma ludo. Uzu la maldekstran kaj la dekstran sagajn klavojn por moviĝi, spacoklavon por salti, X-n por aĵoj, Z-n aŭ V-n por ŝanĝi inter aĵoj, C-n por kapabloj, majuskligan klavon por ŝanĝi inter roluloj, supran sagon por malfermi pordojn, Esc-n por paŭzi.\nLa ludo ankaŭ subtenas stirstangojn (konektu antaŭ malfermi la ludon), kvankam la butona mapigo povas diferenci. Por XBOX kontrolilo uzu la analogan stangon aŭ D-klavaron kiel sagaj butonoj, A-n por salti kaj konfirmi, B-n por aĵoj kaj nuligi, X-n por kapabloj, Y-n por ŝanĝi inter roluloj, LB-n kaj RB-n por ŝanĝi inter âjoj, Start-n por paŭzi.\nUzu F4-n por baskuligi plenan ekranon.
save			Konservi
cancel			Nuligi
language		Lingvo
lang_name		Esperanto
sound_volume	Laŭteco de sonoj
music_volume	Musika laŭteca
controls		Kontroliloj
controls_0		Sagoj, Spacoklavo, Majuskliga klavo, A, S
controls_1		WASD, JKLI
full_screen		Prenu F4-n por ŝanĝi inter fenestra kaj plena ekrano
credits_prog	- Fasonado, Programado kaj Grafikoj -
credits_music	- Musiko -
sounds			- Sonefektoj -
sounds_edit		Redaktado de Victor David Santos
developed		Plene programita en Linukso
special_thanks	- Specialaj Dankoj -
special_thanks2	La Gosu komunumo\n...kaj multaj aliaj amikoj kaj familianoj
special_thanks3	La Gosu komunumo\nĈiuj aliaj amikoj kaj familianoj\nkiuj ebligis ĉi tiun projekton...\nkaj VI, por ludi mian ludon!\nDANKEGON!
graph_soft		- Grafika Programaro -
music_soft		- Musika/Sona Programaro -
langs_libs		- Lingvoj kaj Framoj -
confirm_exit	Ĉu vi certe volas eliri?
ch_st_instruct	Premu enigan klavon por komenci.\nPremu 'Esc'-n aŭ retropaŝan klavon por iri antaŭen.
stage			Nivelo
loading			Ŝarĝante
lives			Vivoj
score			Poentaro
resume			Daŭrigi
change_bomb		Ŝanĝi Bombon
stage_complete	Nivelo finita!
total			Totalo
spec_taken		Spec trovita?
stars			Steloj
all_stars_found	Akiris aĵon!
dead			Vi mortis!
restart			Premu enigan klavon por rekomenci
game_over		Ludo finita!
too_bad			Tro malbone!
can_play		Vi nun povas ludi kiel:
