powered_by		Didukung oleh
game_by			Dibuat oleh
play			Main
help			Bantuan
options			Pilihan
credits			Kredit
editor			Edit Level
exit			Keluar
story			Cerita
custom			Level Kustom
choose_game		Pilih game yang ingin dimuat atau 'Mulai Baru'
new_game		Mulai Baru
what_name		Siapa namamu?
select_mode		Pilih mode
old_school		Klasik
old_school_desc	Nyawamu terbatas. Jika nyawamu mencapai nol, seluruh progres di dunia terakhir yang kamu kunjungi terhapus.
casual			Santai
casual_desc		Nyawamu tidak terbatas. Kamu bebas mengulang dari titik lanjut atau awal level kapan saja.
back			Kembali
continue		Lanjut
delete			Hapus
delete_confirm	Yakin mau hapus game ini?
yes				Ya
no				Tidak
select_level	Pilih level yang ingin dimainkan
help_text		Ini adalah game platform. Gunakan panah kiri dan kanan untuk bergerak, spasi untuk loncat, X untuk menggunakan item, Z atau V untuk mengganti item, C untuk memakai kemampuan, Shift untuk mengganti karakter, panah atas untuk membuka pintu, Esc untuk jeda game.\nGame ini juga kompatibel dengan joystick (hubungkan sebelum memulai memulai game). Pemetaan tombol mungkin berbeda-beda. Untuk controller XBOX 360, gunakan stik analog atau D-pad sebagai tombol panah, A untuk loncat atau konfirmasi, B untuk menggunakan item atau batalkan, X untuk memakai kemampuan, Y untuk mengganti karakter, LB dan RB untuk mengganti item, Start untuk jeda game.\nTekan F4 untuk beralih ke tampilan layar penuh.
save			Simpan
cancel			Batal
language		Bahasa
lang_name		Bahasa Indonesia
sound_volume	Volume suara
music_volume	Volume musik
full_screen		Tekan F4 untuk beralih antara tampilan jendela dan layar penuh
credits_prog	- Desain, Pemrograman, dan Grafis -
credits_music	- Musik -
sounds			- Efek Suara -
sounds_edit		Disunting oleh Victor David Santos
developed		Dikembangkan sepenuhnya di Linux
special_thanks	- Ucapan Terima Kasih Spesial -
special_thanks2	Komunitas Gosu\n...dan semua teman dan keluarga yang telah mendukung
special_thanks3	Komunitas Gosu\nSemua teman dan keluarga\nyang turut mewujudkan proyek ini...\ndan KAMU, yang sudah memainkan game ini!\nTERIMA KASIH BANYAK, YA!
graph_soft		- Aplikasi Grafis -
music_soft		- Aplikasi Musik/Audio -
langs_libs		- Bahasa dan Framework -
confirm_exit	Yakin mau keluar?
ch_st_instruct	Tekan 'Enter' untuk mulai.\nTekan 'Esc' atau 'Backspace' untuk kembali.
stage			Tahap
lives			Nyawa
score			Skor
resume			Lanjut
change_bomb		Ganti Bom
stage_complete	Tahap Selesai!
total			Total
spec_taken		Dapat Spec?
stars			Bintang
all_stars_found	Mendapatkan item!
dead			Kamu mati!
restart			Tekan 'Enter' untuk mengulang
game_over		Kamu kalah!
too_bad			Sayang sekali!
can_play		Sekarang kamu bisa bermain sebagai:
msg1			Artefak ini disebut dengan Spec. Konon, artefak-artefak ini tersebar di seluruh dunia. Siapa pun yang berhasil mengumpulkan semuanya, akan membuka gerbang menuju dunia ajaib... Terdengar agak gila, kan?
msg2			Tidak semua kunci bisa membuka setiap pintu...
msg3			Apakah kamu sudah mengumpulkan artefak-artefak ini? Menurut legenda, mereka membuka gerbang menuju semacam dunia ajaib... Aku pernah dengar gerbang itu terletak di suatu tempat di Pulau Tars.
msg_monep		Hei! Tunggu! Kalau kamu ingin melangkah lebih jauh, kamu harus bawakan aku sebuah Herba Hutan. Benar, Herba Hutan yang lezat itu... Sekarang enyah dan jangan kembali kalau barangnya belum ada!
msg_mnt_bomb	Hai, aku sempat jalan-jalan di pegunungan dan kehilangan Batu Jilis milikku yang berharga. Batu itu besar, berkilat, berwarna hijau... Maukah kamu mencarikannya untukku?
msg_mnt_bomb2	Terima kasih banyak, kawan! Sebenarnya aku tidak punya banyak hal yang bisa kuberikan sebagai imbalan atas kebaikanmu, tapi kalau mau, kamu bisa menggunakan mesin pengapung ini. Mesin ini akan membantumu mencapai puncak gunung./Pemandangannya sangat indah di atas sana!
msg_aldan		Hei! Senang sekali bertemu sesama bom di sini... Terima kasih sudah membebaskanku! Ayo, kita harus segera mengalahkan Gaxlon dan para kaki tangannya... rakyat kita sedang menderita!
chamal_speech	Akhirnya... kau datang juga. Sayang sekali, perjalananmu yang tak berarti ini harus berakhir sekarang, bom kecil. TANGKAP DIA, WHEELIAMS!
chamal_death	Tidaaaaaak...!! Bagaimana bisa aku dikalahkan oleh makhluk lemah seperti ini...?! Tidak, itu tidak...mung...
sahiss_speech	Sssssss Ssssssssssss Sssss?! SSSSSS!! (Siapa kamu yang berani masuk ke benteng suci hutanku?! BERSIAPLAH UNTUK MATI!!)
sahiss_death	Sssssssssssssssssssss...!! (Tidaaaaaaaaaaaaaaaaaaak...!!)
ulor_speech		Apa yang kalian lakukan di sini, bom-bom kecil?! Tamatlah kalian!
ulor_death		Gaaaaaah! Tak kusangka... Aku kalah dari makhluk remeh ini...!
zirkn_speech	Bodoh sekali kamu datang ke sini... Sekarang, KAMU HARUS MEMBAYAR AKIBATNYA!
zirkn_death		Terkutuklah kauuuuu!!
globb_speech	Grrrraaaaarrrblaaarrrgh!!! (Keluar dari rawa milikku!!!)
globb_death		Ggaaaaarrrr! Bleearr...gh! (Aaaaah! Biarkan aku sen...diri!)
drepz_speech	Tak kusangka kau bisa berhasil sejauh ini... Tapi percuma saja, karena...\nKAU TAK AKAN BISA MENINGGALKAN TEMPAT INI!
drepz_death		Heh... Kau kuat juga, ya... Tapi biar aku peringatkan: kau tidak akan bisa mengalahkan Raja Gaxlon!
gaxlon_speech	Wah, tak kusangka kalian bisa sampai ke sini... Tak sadarkah kalian kalau ini semua sia-sia? Kekuatanku jauh melampaui kalian semua... Tapi kalau kalian memang ingin bertarung, TUNJUKKAN KEHEBATAN KALIAN!
gaxlon_death	TIDAAAAAAAK!!! Kau rampas semuanya dariku! Sejak kita masih kecil, kau selalu begitu... Kenapa, Aldan, KENAPA?!?!
count_down		Hitungan mundur menuju ledakan!
world_1			Pulau Tars
stage_1_1		Jelajahi Pantai Tars
stage_1_2		Pasir dan Perbukitan Hijau
stage_1_3		Kekacauan 'Mechanimal'
stage_1_4		Akhirnya! Benteng Chamal
stage_1_5		Chamal: Saat Kejatuhannya!
world_2			Hutan Orang Bijak
stage_2_1		Hutan Perbatasan
stage_2_2		Puncak Pohon Tertinggi
stage_2_3		Teka-Teki Tiga Pohon
stage_2_4		Memasuki Benteng Hutan
stage_2_5		Jauh di Dalam Benteng Hutan
world_3			Pegunungan Hujan
stage_3_1		Di Kaki Pegunungan
stage_3_2		Bukit Teka-Teki
stage_3_3		Berjumpa dengan Suku Pegunungan
stage_3_4		Gua Es
stage_3_5		Tempat Persembunyian Ulor
world_4			Desa Inkut
stage_4_1		Desa yang Hancur
stage_4_2		Awas Ada Dinding Jatuh!
stage_4_3		Kuil Kuno
stage_4_4		Bagian-Bagian Puzzle yang Tersembunyi
stage_4_5		Istana Kuno
world_5			Rawa Mual
stage_5_1		Selamat Datang di Rawa
stage_5_2		Duri, Racun, dan Air yang Berbahaya
stage_5_3		Lereng Curam!
