powered_by		Feito com
game_by			Um jogo por
play			Jogar
help			Ajuda
options			Opções
credits			Créditos
exit			Sair
choose_game		Escolha um jogo para carregar ou 'Novo Jogo'
new_game		Novo Jogo
what_name		Qual é o seu nome?
back			Voltar
continue		Continuar
delete			Apagar
delete_confirm	Tem certeza que quer apagar este jogo?
yes				Sim
no				Não
help_text		Este é um jogo de plataforma. Use as setas esquerda e direita para se mover, espaço para pular, X para itens, Z ou V para alternar entre itens, C para habilidades, Shift para trocar de personagem, seta para cima para abrir portas, Esc para pausar.\nO jogo também suporta joysticks (conecte antes de abrir o jogo), mas o mapeamento de botões pode variar. Para um controle de XBOX 360, use o analógico esquerdo ou direcionais como as setas, A para pular e confirmar, B para itens e cancelar, X para habilidades, Y para trocar de personagem, LB e RB para trocar itens, Start para pausar.\nUse F4 para alternar entre tela cheia e janela.
save			Salvar
cancel			Cancelar
language		Idioma
lang_name		Português
sound_volume	Volume dos sons
music_volume	Volume da música
controls		Controles
controls_0		Setas, Espaço, Shift, A, S
controls_1		WASD, JKLI
full_screen		Aperte F4 para alternar entre janela e tela cheia
credits_prog	- Design, Programação e Gráficos -
credits_music	- Música -
sounds			- Efeitos Sonoros -
sounds_edit		Edição por Victor David Santos
developed		Desenvolvido inteiramente em Linux
special_thanks	- Agradecimentos Especiais -
special_thanks2	A comunidade Gosu\n...e muitos outros amigos e família
special_thanks3	A comunidade Gosu\nTodos os outros amigos e familiares\nque tornaram possível esse projeto...\ne VOCÊ, por jogar meu jogo!\nMUITO OBRIGADO!!
graph_soft		- Software de Gráficos -
music_soft		- Software de Música -
langs_libs		- Linguagens e Frameworks -
confirm_exit	Tem certeza de que deseja sair?
ch_st_instruct	Aperte 'Enter' para começar.\nAperte 'Esc' ou 'Backspace' para voltar.
stage			Fase
loading			Carregando
lives			Vidas
score			Pontos
resume			Continuar
change_bomb		Trocar Bomba
stage_complete	Fase completa!
total			Total
spec_taken		Spec encontrado?
stars			Estrelas
all_stars_found	Obteve um item!
dead			Você morreu!
restart			Pressione 'Enter' para recomeçar
game_over		Fim de jogo!
too_bad			Que pena!
can_play		Agora você pode jogar com:
msg1			Esse artefato se chama Spec. Dizem que eles estão espalhados por todo o mundo, e aquele que coletar todos abrirá um portão para um mundo mágico... Bem louco, não?
msg2			Nem todas as chaves servem em todas as portas...
msg3			Você tem coletado esses artefatos? Diz a lenda que eles abrem um portão para um mundo mágico... Eu ouvi dizer que esse portão fica em algum lugar na Ilha de Tars.
msg_monep		Ei! Alto lá! Se você quiser passar por aqui, tem que me trazer uma erva florestal. Isso mesmo, uma deliciosa erva florestal... Agora suma daqui e volte apenas quando tiver arranjado uma para mim!
msg_mnt_bomb	Olá, eu estava caminhando pelas montanhas e perdi minha preciosa Pedra Jillis. É uma jóia grande, verde e brilhante... você acha que pode encontrá-la para mim?
msg_mnt_bomb2	Muito obrigado, amigo! Bom... Eu não tenho muito a oferecer em retorno, mas você pode usar essa máquina de flutuação se quiser. Ela vai te ajudar a alcançar as partes mais altas da montanha./É uma vista maravilhosa lá do alto!
msg_aldan		Olá! É tão bom ver uma bomba amiga por aqui... obrigado por me libertar! Agora, temos que nos apressar e derrotar Gaxlon e seus capangas... nossos cidadãos estão sofrendo!
chamal_speech	Então... você veio. Porém, temo que este seja o fim de sua vã jornada, pequena bomba. WHEELIAMS, PEGUEM-NO!
chamal_death	Nããããããoooo...!! Como eu fui perder para um fracote como esse...?! Não... Não é poss...
sahiss_speech	Sssssss Ssssssssssss Sssss?! SSSSSS!! (Quem é você que invade minha sagrada fortaleza florestal?! PREPARE-SE PARA MORRER!!)
sahiss_death	Sssssssssssssssssssss...!! (Nããããããoooooooooo...!!)
ulor_speech		O que pensam que fazem aqui, pequenas bombas?! É o fim para vocês!
ulor_death		Gaaaaaah! Não acredito... Derrotado por essas criaturas insignificantes...!
zirkn_speech	Foi tolice da parte de vocês vir até aqui... Agora, VOCÊS VÃO PAGAR!
zirkn_death		Malditas sejam!!
globb_speech	Grrrraaaaarrrblaaarrrgh!!! (Saia do meu pântano!!!)
globb_death		Ggaaaaarrrr! Bleearr...gh! (Aaaaah! Deixe-me em p...az!)
drepz_speech	Não acredito que vocês chegaram tão longe... Mas foi tudo em vão, porque...\nVOCÊS NUNCA SAIRÃO DAQUI!
drepz_death		Heh... Vocês são bem fortes... Mas eu os aviso: vocês nunca derrotarão o rei Gaxlon!
gaxlon_speech	Uau, não acredito que vocês vieram até aqui... Não veem que é inútil? Eu sou muito mais poderoso do que todos vocês... Mas se é uma luta que querem, então MOSTREM-ME DO QUE SÃO CAPAZES!
gaxlon_death	NÃOOOOOOO!!! Você tirou tudo de mim! Desde nossa infância, foi sempre assim... Por quê, Aldan, POR QUÊ?!?!
count_down		Contagem regressiva para explodir!
world_1			Ilha de Tars
stage_1_1		Explorando a Praia de Tars
stage_1_2		Areia e Colinas Verdes
stage_1_3		Um caos de 'mecanimais'
stage_1_4		Finalmente! A Fortaleza de Chamal
stage_1_5		Chamal: a derrubada!
world_2			Floresta dos Sábios
stage_2_1		As matas de fronteira
stage_2_2		No topo da árvore mais alta
stage_2_3		O enigma das três árvores
stage_2_4		Entrando na fortaleza florestal
stage_2_5		Nas profundezas da fortaleza florestal
world_3			Serra da Chuva
stage_3_1		???
stage_3_1		Na base das montanhas
stage_3_2		Colinas enigmáticas
stage_3_3		Conheça a tribo da montanha
stage_3_4		As cavernas de gelo
stage_3_5		O esconderijo de Ulor
world_4			Vila Inkut
stage_4_1		Um vilarejo em ruínas
stage_4_2		Cuidado com as paredes cadentes!
stage_4_3		O antigo templo
stage_4_4		As peças de quebra-cabeça ocultas
stage_4_5		O antigo castelo
world_5			Pântano Mual
stage_5_1		Bem-vindo ao pântano
stage_5_2		Espinhos, veneno e águas perigosas
stage_5_3		A descida maluca!
stage_5_4		Cai a noite em Mual
stage_5_5		Um ninho de criaturas perversas
world_6			Cavernas Ooria
stage_6_1		Estrada rochosa à frente
stage_6_2		Plataformas móveis fora de controle!
stage_6_3		O profundo labirinto subterrâneo
stage_6_4		Aventurando-se no escuro
stage_6_5		Drepz na cova sombria
world_7			Cidade das Bombas
stage_7_1		Esgueirando-se pelas bordas da cidade
stage_7_2		O exército do rei ilegítimo
stage_7_3		Aproximando-se dos muros do castelo
stage_7_4		Entrando no castelo real
stage_7_5		Um duelo por justiça
world_8			Lae, a floresta mágica
stage_8_1		Uma odisséia pela névoa
bonus			Bônus
bonus_1			Chegue ao final
bonus_2			Mate todos os inimigos
bonus_3			Pegue todas as Pedras de Fogo
movie_0_0		Numa terra distante, há um belo vilarejo, habitado por... bombas./Este vilarejo foi um dia um lugar pacífico, onde o povo amava seu rei e vivia na prosperidade.../Mas a inveja de Gaxlon, um dos conselheiros do rei, acaba de abalar esta tranquilidade...
movie_0_1		Gaxlon queria governar o reino com as próprias mãos, então ele aprisionou Aldan, o rei. Não foi capaz de matá-lo, já que eles foram amigos de infância no passado.../Enquanto seus capangas levavam o rei, as 4 super bombas chegaram e testemunharam a cena terrível.
